17798: TaskCorrectCourse::CorrectCourse: dt=0.103, w0=-0.962, wz=-0.182, w1=-0.923, h0=-1.506, h1=-1.601, ei=18.333, correction=0
17906: TaskCorrectCourse::CorrectCourse: dt=0.106, w0=-0.923, wz=-1.307, w1=-0.942, h0=-1.601, h1=-1.701, ei=20.034, correction=1
18010: TaskCorrectCourse::CorrectCourse: dt=0.104, w0=-0.942, wz=-1.307, w1=-0.960, h0=-1.701, h1=-1.801, ei=21.834, correction=1
18113: TaskCorrectCourse::CorrectCourse: dt=0.105, w0=-0.960, wz=-1.432, w1=-0.984, h0=-1.801, h1=-1.904, ei=23.738, correction=1
18223: TaskCorrectCourse::CorrectCourse: dt=0.110, w0=-0.984, wz=-3.432, w1=-1.106, h0=-1.904, h1=-2.026, ei=25.764, correction=1
18333: TaskCorrectCourse::CorrectCourse: dt=0.109, w0=-1.106, wz=-1.807, w1=-1.141, h0=-2.026, h1=-2.150, ei=27.914, correction=1
18444: TaskCorrectCourse::CorrectCourse: dt=0.112, w0=-1.141, wz=-0.432, w1=-1.106, h0=-2.150, h1=-2.274, ei=30.188, correction=1
18554: TaskCorrectCourse::CorrectCourse: dt=0.109, w0=-1.106, wz=-0.495, w1=-1.075, h0=-2.274, h1=-2.391, ei=32.579, correction=1
18657: TaskCorrectCourse::CorrectCourse: dt=0.104, w0=-1.075, wz=0.192, w1=-1.012, h0=-2.391, h1=-2.496, ei=35.076, correction=1
18762: TaskCorrectCourse::CorrectCourse: dt=0.103, w0=-1.012, wz=0.380, w1=-0.942, h0=-2.496, h1=-2.593, ei=37.669, correction=1
18866: TaskCorrectCourse::CorrectCourse: dt=0.105, w0=-0.942, wz=-0.558, w1=-0.923, h0=-2.593, h1=-2.690, ei=40.360, correction=2
18974: TaskCorrectCourse::CorrectCourse: dt=0.107, w0=-0.923, wz=0.130, w1=-0.870, h0=-2.690, h1=-2.784, ei=43.143, correction=2
19079: TaskCorrectCourse::CorrectCourse: dt=0.107, w0=-0.870, wz=-0.245, w1=-0.839, h0=-2.784, h1=-2.873, ei=46.017, correction=2
19180: TaskCorrectCourse::CorrectCourse: dt=0.101, w0=-0.839, wz=1.942, w1=-0.700, h0=-2.873, h1=-2.944, ei=48.961, correction=2
19290: TaskCorrectCourse::CorrectCourse: dt=0.110, w0=-0.700, wz=5.568, w1=-0.387, h0=-2.944, h1=-2.987, ei=51.947, correction=2
19400: TaskCorrectCourse::CorrectCourse: dt=0.110, w0=-0.387, wz=8.567, w1=0.061, h0=-2.987, h1=-2.980, ei=54.927, correction=2
19510: TaskCorrectCourse::CorrectCourse: dt=0.110, w0=0.061, wz=6.130, w1=0.364, h0=-2.980, h1=-2.940, ei=57.867, correction=2
19620: TaskCorrectCourse::CorrectCourse: dt=0.109, w0=0.364, wz=2.255, w1=0.459, h0=-2.940, h1=-2.890, ei=60.757, correction=3
19722: TaskCorrectCourse::CorrectCourse: dt=0.103, w0=0.459, wz=1.380, w1=0.505, h0=-2.890, h1=-2.838, ei=63.594, correction=3
19830: TaskCorrectCourse::CorrectCourse: dt=0.106, w0=0.505, wz=1.005, w1=0.530, h0=-2.838, h1=-2.782, ei=66.376, correction=3
19930: TaskCorrectCourse::CorrectCourse: dt=0.100, w0=0.530, wz=-0.120, w1=0.498, h0=-2.782, h1=-2.732, ei=69.108, correction=3
20035: TaskCorrectCourse::CorrectCourse: dt=0.107, w0=0.498, wz=1.755, w1=0.560, h0=-2.732, h1=-2.672, ei=71.780, correction=3
20144: TaskCorrectCourse::CorrectCourse: dt=0.108, w0=0.560, wz=2.005, w1=0.633, h0=-2.672, h1=-2.604, ei=74.383, correction=3
20253: TaskCorrectCourse::CorrectCourse: dt=0.110, w0=0.633, wz=2.568, w1=0.729, h0=-2.604, h1=-2.523, ei=76.906, correction=3
20364: TaskCorrectCourse::CorrectCourse: dt=0.110, w0=0.729, wz=1.380, w1=0.762, h0=-2.523, h1=-2.439, ei=79.346, correction=3
20474: TaskCorrectCourse::CorrectCourse: dt=0.111, w0=0.762, wz=2.818, w1=0.865, h0=-2.439, h1=-2.343, ei=81.689, correction=4
20586: TaskCorrectCourse::CorrectCourse: dt=0.111, w0=0.865, wz=2.318, w1=0.937, h0=-2.343, h1=-2.239, ei=83.929, correction=4
20686: TaskCorrectCourse::CorrectCourse: dt=0.101, w0=0.937, wz=2.568, w1=1.019, h0=-2.239, h1=-2.137, ei=86.065, correction=4
20788: TaskCorrectCourse::CorrectCourse: dt=0.102, w0=1.019, wz=5.568, w1=1.246, h0=-2.137, h1=-2.009, ei=88.075, correction=4
20896: TaskCorrectCourse::CorrectCourse: dt=0.106, w0=1.246, wz=3.755, w1=1.372, h0=-2.009, h1=-1.864, ei=89.939, correction=4
21000: TaskCorrectCourse::CorrectCourse: dt=0.106, w0=1.372, wz=5.318, w1=1.569, h0=-1.864, h1=-1.698, ei=91.637, correction=4
21104: TaskCorrectCourse::CorrectCourse: dt=0.104, w0=1.569, wz=2.005, w1=1.591, h0=-1.698, h1=-1.532, ei=93.169, correction=4
